product_sku,product_name,product_price,product_link
06750003,Machete 20pulg T-460-20p 15886  Truper,4420,http://ferreteriasur.cl/machete-20pulg-t-460-20p-15886-truper.html
16220047,Einhell Esmeril Ang. 4 1/2 720w Te-ag 115 4430882,26000,http://ferreteriasur.cl/einhell-esmeril-ang-4-1-2-720w-te-ag-115-4430882.html
16220043,Einhell Sierra Caladora 400w Tc-js 60 4321117,24900,http://ferreteriasur.cl/einhell-sierra-caladora-400w-tc-js-60-4321117.html
16220042,Einhell Kit Tal 1010w C/acc. Tc-id1000 4259844,40150,http://ferreteriasur.cl/einhell-kit-tal-1010w-c-acc-tc-id1000-4259844.html
16220034,Einhell Herr Multiprop. Tc-mg 135  4419169,39990,http://ferreteriasur.cl/einhell-herr-multiprop-tc-mg-135-4419169.html
16220025,Einhell Taladro Elect. 13mm 550w Te-id550 4259610,32950,http://ferreteriasur.cl/einhell-taladro-elect-13mm-550w-te-id550-4259610.html
15780180,Sierra Copa Bahco 3830-25 25mm,7910,http://ferreteriasur.cl/sierra-copa-bahco-3830-25-25mm.html
15780147,Huincha Medir Ac.inox. 8 Mt.x 1 Bahco,13120,http://ferreteriasur.cl/huincha-medir-ac-inox-8-mt-x-1-bahco.html
11730175,Makita Sierra Circ. 7 1/4 1600w Hs7010k,123610,http://ferreteriasur.cl/makita-sierra-circ-7-1-4-1600w-hs7010k.html
11730173,Makita Disco Sierra 7 1/4 60 Dientes D-61466,8910,http://ferreteriasur.cl/makita-disco-sierra-7-1-4-60-dientes-d-61466.html
11730171,Makita Desbrozadora 2t 24.5cc Em2500u Cab/dis,140990,http://ferreteriasur.cl/makita-desbrozadora-2t-24-5cc-em2500u-cab-dis.html
11730145,Makita Broca Paleta 25mm X 150mm D-07783,2500,http://ferreteriasur.cl/makita-broca-paleta-25mm-x-150mm-d-07783.html
11730144,Makita Broca Paleta 3/4  X 150mm D-23999,2650,http://ferreteriasur.cl/makita-broca-paleta-3-4-x-150mm-d-23999.html
11730134,Makita Unidad Hoja Sierra Sable Mad. B-03030,6630,http://ferreteriasur.cl/makita-unidad-hoja-sierra-sable-mad-b-03030.html
11730126,Makita - Mt Esmeril Angular 4 1/2 M0901g,34900,http://ferreteriasur.cl/makita-mt-esmeril-angular-4-1-2-m0901g.html
11730112,Makita Broca Sds-plus 12x260mm Ut:200 D-00240,3300,http://ferreteriasur.cl/makita-broca-sds-plus-12x260mm-ut-200-d-00240.html
11730110,Makita Broca Sds-plus 10x260 Mm D-00197,2900,http://ferreteriasur.cl/makita-broca-sds-plus-10x260-mm-d-00197.html
11730109,Makita Broca Sds Plus 10x160mm Ut:100mm D-00175,2700,http://ferreteriasur.cl/makita-broca-sds-plus-10x160mm-ut-100mm-d-00175.html
11730108,Makita  Broca Sds-plus 8x210 Mm D-00147,2700,http://ferreteriasur.cl/makita-broca-sds-plus-8x210-mm-d-00147.html
11730107,Makita Broca Sds Plus 8 X160 Mm Ut:100 D-00131,2100,http://ferreteriasur.cl/makita-broca-sds-plus-8-x160-mm-ut-100-d-00131.html
11730106,Makita Broca Sds 6x160mm Ut:100mm D-00066,1800,http://ferreteriasur.cl/makita-broca-sds-6x160mm-ut-100mm-d-00066.html
11730093,Makita Disco 7 1/4 40 Dientes Eje 5/8  D-20688,7990,http://ferreteriasur.cl/makita-disco-7-1-4-40-dientes-eje-5-8-d-20688.html
11730088,Makita Disco Sierra 7 1/4 X 24 Dte Eje 5/8 D-03436,6660,http://ferreteriasur.cl/makita-disco-sierra-7-1-4-x-24-dte-eje-5-8-d-03436.html
11730083,Makita Taladro Percutor 16m/m Hp1630k,98630,http://ferreteriasur.cl/makita-taladro-percutor-16m-m-hp1630k.html
06020002,Hoja Sierra Sandflex # 3906-300-24-100,830,http://ferreteriasur.cl/hoja-sierra-sandflex-3906-300-24-100.html
16220284,Einhell Kit Talad Inal.18v 2 Bat 1.5ah 4513834,119900,http://ferreteriasur.cl/einhell-kit-talad-inal-18v-2-bat-1-5ah-4513834.html
16220271,Einhell Kit Taladro+esmeril Inal.te-tk 18 4257211,149900,http://ferreteriasur.cl/einhell-kit-taladro-esmeril-inal-te-tk-18-4257211.html
16220242,Einhell Pistola Calor Te-ha 2000e 4520195,44900,http://ferreteriasur.cl/einhell-pistola-calor-te-ha-2000e-4520195.html
08360013,Rastrillo P/hojas C/mango 22 D. Em-22 Truper 14322,4290,http://ferreteriasur.cl/rastrillo-p-hojas-c-mango-22-d-em-22-truper-14322.html
08820004,Serrucho Podar # 384-5t Bahco,17310,http://ferreteriasur.cl/serrucho-podar-384-5t-bahco.html
06500017,Platacho Hela Prof. Mad/rauli Pr4014 140x400x20mm,11000,http://ferreteriasur.cl/platacho-hela-prof-mad-rauli-pr4014-140x400x20mm.html
06500012,Llana Hela Ld280-8 Dentado 8mm Acero 280 X 130,8780,http://ferreteriasur.cl/llana-hela-ld280-8-dentado-8mm-acero-280-x-130.html
06500007,Llana Hela Rectangular L305 Acero 305 X 150,8990,http://ferreteriasur.cl/llana-hela-rectangular-l305-acero-305-x-150.html
06500006,Llana Hela Rectangular L280 Acero 280 X 130,8460,http://ferreteriasur.cl/llana-hela-rectangular-l280-acero-280-x-130.html
11730066,MT FRESADORA REBAJ. M3700 1/4   (MAKITA),63900,http://ferreteriasur.cl/mt-fresadora-rebaj-m3700-1-4-makita.html
11730065,Mt Cepillo Mkp082/m1902g 550w  (makita),89900,http://ferreteriasur.cl/mt-cepillo-mkp082-m1902g-550w-makita.html
11730044,Makita - Atornill C/male 80 Acc. 3.6v Df001dw,42990,http://ferreteriasur.cl/makita-atornill-c-male-80-acc-3-6v-df001dw.html
11730007,Makita - Esmeril  Angular 4 1/2 9557 Hpg,65820,http://ferreteriasur.cl/makita-esmeril-angular-4-1-2-9557-hpg.html
11730006,Makita - Esmeril Angular 4 1/2 840w 9557 Hng,69900,http://ferreteriasur.cl/makita-esmeril-angular-4-1-2-840w-9557-hng.html
11730003,Makita - Atornillador 1/4 570w Fs4000,97900,http://ferreteriasur.cl/makita-atornillador-1-4-570w-fs4000.html
11680016,Stanley Taladro Inalambrico 12 Volt Scd12s2k-b2c,89080,http://ferreteriasur.cl/stanley-taladro-inalambrico-12-volt-scd12s2k-b2c.html
11670012,Black  Decker Sierra Circ.1400w Cs1004,50420,http://ferreteriasur.cl/black-decker-sierra-circ-1400w-cs1004.html
11670006,Black  Decker Esmeril Angular 4 1/2 G720,26680,http://ferreteriasur.cl/black-decker-esmeril-angular-4-1-2-g720.html
11670004,Black  Decker Sierra Caladora Ks405/ks501-b2c,34660,http://ferreteriasur.cl/black-decker-sierra-caladora-ks405-ks501-b2c.html
11670003,Black  Decker Taladro Inalambrico Cd121k,49890,http://ferreteriasur.cl/black-decker-taladro-inalambrico-cd121k.html
16220182,Einhell Talad Inal. 18v Lit. C/bat 1.5 Ah 4513830,104900,http://ferreteriasur.cl/einhell-talad-inal-18v-lit-c-bat-1-5-ah-4513830.html
16220181,Einhell Kit Taladro 650w Tc-id 650 4258683,39900,http://ferreteriasur.cl/einhell-kit-taladro-650w-tc-id-650-4258683.html
16220129,Einhell Sierra Circ. 7 1/4 Th-cs 1600 4472056,49900,http://ferreteriasur.cl/einhell-sierra-circ-7-1-4-th-cs-1600-4472056.html
16220064,Einhell Fresadora Tupy Rt-ro 55 4350494,79900,http://ferreteriasur.cl/einhell-fresadora-tupy-rt-ro-55-4350494.html
16220048,Einhell Lijadora Excentrica Te-rs 40 E 4462000,42900,http://ferreteriasur.cl/einhell-lijadora-excentrica-te-rs-40-e-4462000.html
07050015,Martillo Carpintero M/fibra 428-20 Bahco,10140,http://ferreteriasur.cl/martillo-carpintero-m-fibra-428-20-bahco.html
09670004,Llave Angular Muro Cte. 1/2 X 1/2  Sin Flex.,2600,http://ferreteriasur.cl/llave-angular-muro-cte-1-2-x-1-2-sin-flex.html
01400064,Disco Corte Inoxidable Dewalt Dw44602 7 X 1.6mm,1360,http://ferreteriasur.cl/disco-corte-inoxidable-dewalt-dw44602-7-x-1-6mm.html
01400061,Dewalt Atorn. Inal. 12v 2bat. Lith Dcd700c2,105200,http://ferreteriasur.cl/dewalt-atorn-inal-12v-2bat-lith-dcd700c2.html
01400026,Dewalt Disco Sierra 7 1/4 X 36 Dientes Dw 3176,18080,http://ferreteriasur.cl/dewalt-disco-sierra-7-1-4-x-36-dientes-dw-3176.html
01400025,Dewalt Disco Sierra 7 1/4 X 24 Dientes Dw 3178,14520,http://ferreteriasur.cl/dewalt-disco-sierra-7-1-4-x-24-dientes-dw-3178.html
04120006,Escobilla Acero Hela Recta # 1a,3120,http://ferreteriasur.cl/escobilla-acero-hela-recta-1a.html
04120002,Escobilla Acero Hela/estampa  4-c  C/mango,2380,http://ferreteriasur.cl/escobilla-acero-hela-estampa-4-c-c-mango.html
01660015,Adaptador Magnetico P/tornillo Autop. 1/4 X 5/16,1480,http://ferreteriasur.cl/adaptador-magnetico-p-tornillo-autop-1-4-x-5-16.html
14260004,Broca H.s.s. Helicoidal Irwin 4mm X 75mm Iw1234,670,http://ferreteriasur.cl/broca-h-s-s-helicoidal-irwin-4mm-x-75mm-iw1234.html
07370001,Palangana Plastica P/pintura Grande,1400,http://ferreteriasur.cl/palangana-plastica-p-pintura-grande.html
07360012,Pala Punta Huevo C/mango Pph-p 17165 Truper,9870,http://ferreteriasur.cl/pala-punta-huevo-c-mango-pph-p-17165-truper.html
05160017,Escuadra Carpintera Falsa Truper Eft-8  14382,3540,http://ferreteriasur.cl/escuadra-carpintera-falsa-truper-eft-8-14382.html
01400004,Dewalt Esmeril Angula 4 1/2 700w Dwe4010,45830,http://ferreteriasur.cl/dewalt-esmeril-angula-4-1-2-700w-dwe4010.html
30000049,Makita Sierra Circular 5007nk 1800w.,119900,http://ferreteriasur.cl/makita-sierra-circular-5007nk-1800w.html
04050001,Chuzo 1 1/8 X 1.60 Mts.,13650,http://ferreteriasur.cl/chuzo-1-1-8-x-1-60-mts.html
06420003,Lima Motosierra 3/16 Nicholson,1700,http://ferreteriasur.cl/lima-motosierra-3-16-nicholson.html
06410005,Lima Mill Bastard 10 4-138-10-1-2 Bahco,8300,http://ferreteriasur.cl/lima-mill-bastard-10-4-138-10-1-2-bahco.html
06410004,Lima Mill Bastard 8 4-138-08-1-2 Bahco,6930,http://ferreteriasur.cl/lima-mill-bastard-8-4-138-08-1-2-bahco.html
06750006,Machete 22 T-460-22p 15887  Truper,4420,http://ferreteriasur.cl/machete-22-t-460-22p-15887-truper.html
06700014,Llave Stillson 12 Ysp012 Uyustools,7410,http://ferreteriasur.cl/llave-stillson-12-ysp012-uyustools.html
04460025,Combo C/mango 10 Lb.md-10m Truper 16512,23610,http://ferreteriasur.cl/combo-c-mango-10-lb-md-10m-truper-16512.html
04460023,Combo C/mango 6 Lb.md-6m Truper 16509,15670,http://ferreteriasur.cl/combo-c-mango-6-lb-md-6m-truper-16509.html
04460022,Combo C/mango 4 Lb. Md-4mtruper 16508,9620,http://ferreteriasur.cl/combo-c-mango-4-lb-md-4mtruper-16508.html
06640001,Llave Tuerca Lavatorio China-factix,7570,http://ferreteriasur.cl/llave-tuerca-lavatorio-china-factix.html
02300008,Marco Sierra Mecanico Cromado Att-12 10234 Truper,7940,http://ferreteriasur.cl/marco-sierra-mecanico-cromado-att-12-10234-truper.html
02300007,Marco Sierra Mecanico Uyustool Mcf012 12,3630,http://ferreteriasur.cl/marco-sierra-mecanico-uyustool-mcf012-12.html
02300002,Marco Sierra Mecanico Tubular Mcd002 12`` Uyustool,5010,http://ferreteriasur.cl/marco-sierra-mecanico-tubular-mcd002-12-uyustool.html
02300001,Marco Sierra Mecanico # 317/317-10p-disp-prom Bahc,10040,http://ferreteriasur.cl/marco-sierra-mecanico-317-317-10p-disp-prom-bahc.html
15780241,Atornillador Cruz Bahcofit Ph2 X 125 B192.002.125,3050,http://ferreteriasur.cl/atornillador-cruz-bahcofit-ph2-x-125-b192-002-125.html
15780207,Tijera Aviacion Bahco Recta Ma421 10,11140,http://ferreteriasur.cl/tijera-aviacion-bahco-recta-ma421-10.html
15780194,Sierra Copa Bahco 3830-76 76mm,13630,http://ferreteriasur.cl/sierra-copa-bahco-3830-76-76mm.html
15780191,Sierra Copa Bahco 3830-54 54mm,11340,http://ferreteriasur.cl/sierra-copa-bahco-3830-54-54mm.html
15780190,Sierra Copa Bahco 3830-51 51mm,10200,http://ferreteriasur.cl/sierra-copa-bahco-3830-51-51mm.html
03130014,Broca P/concreto 8 Mm,1620,http://ferreteriasur.cl/broca-p-concreto-8-mm.html
03130012,Broca P/concreto 6 Mm,1180,http://ferreteriasur.cl/broca-p-concreto-6-mm.html
03130011,Broca P/concreto 5 Mm,1020,http://ferreteriasur.cl/broca-p-concreto-5-mm.html
